objectid,filename,youtubeid,title,creator,date,timeofday,shottype,description,subject,location,site,course,latitude,longitude,altitude,bearingdestination,source,identifier,type,format,language,rights,rightsstatement
object001,,qXpmAM-ffCM,Green Infrastructure Beyond Flood Risk Reduction (Linda Shi),"Shi, Linda; Kayden, Jerold",2020-09-10,,,"This lecture explores whether it is possible to achieve both social justice and environmental sustainability in efforts to mitigate urban flood risk. The expanding scale of urban flooding under climate change has renewed interest in large-scale restoration projects that make room for water in metro centers. However, ecologically functioning green infrastructure – unleashed rivers, sprawling wetlands – is inconsistent with the current governance landscape of fragmented local governments seeking to maximize local land values and minimize affordable housing. Moreover, even smaller-scale urban greening projects have resulted in gentrification, suggesting that larger-scale green infrastructure projects will produce still more racist, classist, and exclusionary development. The design imagination for new ecological landscapes has far outpaced a reimagination of the institutional and governance arrangements needed to enable nature-based solutions that advance social justice and ecological sustainability under climate change. This lecture provides an introduction to U.S. development practices implicated by these transitional landscapes, suggests future directions such as urban food production and regional governance, and invites conversation about ways to bridge traditional disciplinary silos in creating racially just, ecologically sustainable, and fiscally functioning cities.",Equity; Climate adaption; Green infrastructure; Flooding; Goverance; Nature-based solutions,,,,,,,,Harvard University Graduate School of Design,,MovingImage,video/mp4,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object012,Trajectory01_C11.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20945833,-71.15068056,13.86746979,217.1800232,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object013,Trajectory01_C12.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20945833,-71.15068056,13.84351348,252.3232572,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object014,Trajectory01_C13.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20945833,-71.15068056,13.48609162,286.0572049,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object015,Trajectory01_C14.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20487222,-71.15496111,7.293983462,3.909301758,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object016,Trajectory01_C15.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20497222,-71.15498333,19.19831087,32.31173709,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object017,Trajectory01_C16.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20496667,-71.154975,19.32819366,98.57681179,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object018,Trajectory01_C17.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20494722,-71.15495278,18.13538361,206.2441253,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object019,Trajectory01_C18.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20490278,-71.15493889,18.02161408,238.8128205,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object020,Trajectory01_C19.JPG,,"Main Axis (University Avenue, from the Route-128 Station on Blue Hill Drive to the Canton/Dedham Street Junction)",,2020-10-09,afternoon,static,,Main Axis; Trajectory01_PointC,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20604722,-71.15380833,15.60523416,133.9637337,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object021,Trajectory02_A01.JPG,,"University Station Mall (car park access, from Harvard Street to Bridge Street)",,2020-10-09,afternoon,static,,University Station Mall; Trajectory02_PointA,"Westwood, Massachusetts",128/Westwood,STU-1221,42.202275,-71.15605278,15.72135162,205.7518083,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object022,Trajectory02_A02.JPG,,"University Station Mall (car park access, from Harvard Street to Bridge Street)",,2020-10-09,afternoon,static,,University Station Mall; Trajectory02_PointA,"Westwood, Massachusetts",128/Westwood,STU-1221,42.202275,-71.15605278,15.45066072,244.3500669,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object023,Trajectory02_A03.JPG,,"University Station Mall (car park access, from Harvard Street to Bridge Street)",,2020-10-09,afternoon,static,,University Station Mall; Trajectory02_PointA,"Westwood, Massachusetts",128/Westwood,STU-1221,42.202275,-71.15605278,15.39942169,300.3838502,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object024,Trajectory02_A04.JPG,,"University Station Mall (car park access, from Harvard Street to Bridge Street)",,,afternoon,static,,University Station Mall; Trajectory02_PointA,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20228611,-71.15610556,15.39490509,338.3820492,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object025,Trajectory02_A05.JPG,,"University Station Mall (car park access, from Harvard Street to Bridge Street)",,,afternoon,static,,University Station Mall; Trajectory02_PointA,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20229722,-71.15612778,14.90674591,22.57159424,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object026,Trajectory02_B01.JPG,,"University Station Mall (car park access, from Harvard Street to Bridge Street)",,,afternoon,static,,University Station Mall; Trajectory02_PointB,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20296389,-71.15592222,19.79834748,211.8919523,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object027,Trajectory02_B02.JPG,,"University Station Mall (car park access, from Harvard Street to Bridge Street)",,,afternoon,static,,University Station Mall; Trajectory02_PointB,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20276944,-71.15566389,19.04565239,55.08267213,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object028,Trajectory02_B03.JPG,,"University Station Mall (car park access, from Harvard Street to Bridge Street)",,,afternoon,static,,University Station Mall; Trajectory02_PointB,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20332778,-71.15571667,17.03644561,15.93624879,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object029,Trajectory02_B04.JPG,,"University Station Mall (car park access, from Harvard Street to Bridge Street)",,,afternoon,static,,University Station Mall; Trajectory02_PointB,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20298333,-71.15592222,21.20307159,306.0387423,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object030,Trajectory02_B05.JPG,,"University Station Mall (car park access, from Harvard Street to Bridge Street)",,,afternoon,static,,University Station Mall; Trajectory02_PointB,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20302222,-71.15576111,19.24619293,18.24136353,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object031,Trajectory02_B06.JPG,,"University Station Mall (car park access, from Harvard Street to Bridge Street)",,,afternoon,static,,University Station Mall; Trajectory02_PointB,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20296111,-71.15595278,18.72946932,141.0609779,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object032,Trajectory02_B07.JPG,,"University Station Mall (car park access, from Harvard Street to Bridge Street)",,,afternoon,static,,University Station Mall; Trajectory02_PointB,"Westwood, Massachusetts",128/Westwood,STU-1221,42.202975,-71.15588333,3.708076476,150.4492569,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object033,Trajectory02_B08.JPG,,"University Station Mall (car park access, from Harvard Street to Bridge Street)",,,afternoon,static,,University Station Mall; Trajectory02_PointB,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20393056,-71.15534167,17.70240022,213.667778,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object034,Trajectory02_B09.JPG,,"University Station Mall (car park access, from Harvard Street to Bridge Street)",,,afternoon,static,,University Station Mall; Trajectory02_PointB,"Westwood, Massachusetts",128/Westwood,STU-1221,42.203925,-71.15533333,17.13898467,158.4362487,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
object035,Trajectory02_B10.JPG,,"University Station Mall (car park access, from Harvard Street to Bridge Street)",,,afternoon,static,,University Station Mall; Trajectory02_PointB,"Westwood, Massachusetts",128/Westwood,STU-1221,42.20393056,-71.15534167,17.76902009,244.0914765,Harvard University Graduate School of Design,,StillImage,image/jpeg,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by the Frances Loeb Library. For other uses beyond free use, please contact the Frances Loeb Library, Harvard University Graduate School of Design.",
